,Unnamed: 0,originaldata_id,tokens_input_ids,tokens_input,tokens_merged,attention,label,rationale_binary
265,265,r2-0019643,"[1, 279, 3130, 83419, 3501, 273, 286, 632, 13450, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'worst', 'acai', 'bowl', 'I', 'have', 'ever', 'tasted.']","['The', 'worst', 'acai', 'bowl', 'I', 'have', 'ever', 'tasted.']","[0.6053151865070001, 0.38188475985529036, 0.3718040575553204, 0.36916700269254255, 0.35578423121461816, 0.3896728563194814, 0.3862263010979875, 0.4390420116924118]",negative,"[1, 0, 0, 0, 0, 0, 0, 1]"
266,266,r2-0019644,"[1, 434, 347, 919, 261, 306, 20711, 262, 41959, 260, 278, 284, 379, 5075, 261, 304, 306, 286, 266, 7653, 272, 431, 2212, 361, 264, 365, 1257, 3977, 263, 273, 284, 3193, 277, 361, 397, 278, 284, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['For', 'some', 'reason,', 'they', 'shredded', 'the', 'scallops.', 'it', 'was', 'very', 'odd,', 'but', 'they', 'have', 'a', 'chef', 'that', 'really', 'knows', 'how', 'to', 'make', 'interesting', 'meals', 'and', 'I', 'was', 'surprised', 'on', 'how', 'good', 'it', 'was.']","['For', 'some', 'reason,', 'they', 'shredded', 'the', 'scallops.', 'it', 'was', 'very', 'odd,', 'but', 'they', 'have', 'a', 'chef', 'that', 'really', 'knows', 'how', 'to', 'make', 'interesting', 'meals', 'and', 'I', 'was', 'surprised', 'on', 'how', 'good', 'it', 'was.']","[0.5759594100794511, 0.46613543407831415, 0.5134668449334951, 0.8798731756873414, 0.5141319966485312, 0.4851512059641644, 0.7881671725678164, 0.49133072062854477, 1.1663922095090082, 0.5837840247074721, 0.6143738590883449, 0.3816405108238469, 0.5035270098937966, 0.9218225002212039, 0.593272875260968, 0.5290585736098136, 0.4757571962717475, 0.7778740500975799, 0.5433499658734454, 0.4861183718126079, 0.4102861851242135, 0.4797223667749606, 0.5093423406144852, 0.5561856828300095, 0.40584262254564896, 0.4112334501397135, 0.4814673742216322, 0.7739679046531381, 0.5229086392137513, 0.5700179556265548, 0.5138133596046403, 0.47661183598964757, 0.5568573075006397]",positive,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
267,267,r2-0019645,"[1, 345, 330, 5351, 275, 355, 288, 661, 263, 519, 8012, 321, 300, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['We', 'had', 'conversations', 'with', 'people', 'at', 'night', 'and', 'got', 'kicked', 'out!']","['We', 'had', 'conversations', 'with', 'people', 'at', 'night', 'and', 'got', 'kicked', 'out!']","[0.46683548697362653, 0.3976074251967492, 0.44392604204917635, 0.3906499979209597, 0.3534726864222044, 0.3768253766054756, 0.40716298617128466, 0.5085987338811085, 0.39962892369229563, 0.49103450741007576, 0.37320031142082194]",negative,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
268,268,r2-0019646,"[1, 369, 274, 350, 262, 1177, 261, 488, 422, 270, 308, 3916, 12675, 779, 261, 305, 274, 295, 1588, 1892, 270, 311, 759, 710, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['If', 'you', 'get', 'the', 'chance,', 'come', 'here', 'for', 'their', 'Happy', 'Hour', 'special,', 'all', 'you', 'can', 'barf', 'for', 'one', 'low', 'price.']","['If', 'you', 'get', 'the', 'chance,', 'come', 'here', 'for', 'their', 'Happy', 'Hour', 'special,', 'all', 'you', 'can', 'barf', 'for', 'one', 'low', 'price.']","[0.5575523334782261, 0.48313670006417336, 0.4594733461640133, 0.74288962275208, 0.5532929674608998, 0.8694084984742482, 0.47170540058741167, 0.4419755255094769, 0.5464548555398047, 0.5431583389675286, 0.39040291380383635, 0.42649175505068687, 0.37517336837893406, 0.8652269205915525, 0.4415264599782249, 0.5007717102885582, 0.4726398960521131, 0.436144679794443, 0.4285877463967766, 0.5354130520911461]",positive,"[1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
269,269,r2-0019647,"[1, 27687, 8356, 280, 268, 269, 312, 424, 264, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Chili', ""Billy's"", 'is', 'my', 'go', 'to']","['Chili', ""Billy's"", 'is', 'my', 'go', 'to']","[0.402438822000584, 0.3312326824479737, 0.3395788168244985, 0.3927344171112968, 0.44238771137973837, 0.42230774954314504]",positive,"[0, 0, 0, 0, 1, 1]"
270,270,r2-0019649,"[1, 273, 387, 298, 1723, 278, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'could', 'not', 'finish', 'it.']","['I', 'could', 'not', 'finish', 'it.']","[0.39812170086697246, 0.3707114082351357, 0.34752873334350304, 0.3586077797790683, 0.3446877508222125]",negative,"[1, 0, 0, 0, 0]"
271,271,r2-0019652,"[1, 273, 284, 15965, 293, 339, 4998, 270, 506, 343, 261, 263, 262, 1857, 263, 607, 265, 262, 645, 595, 351, 73868, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'was', 'stunned', 'by', 'what', 'passes', 'for', 'service', 'there,', 'and', 'the', 'selection', 'and', 'quality', 'of', 'the', 'food', 'left', 'me', 'incredulous.']","['I', 'was', 'stunned', 'by', 'what', 'passes', 'for', 'service', 'there,', 'and', 'the', 'selection', 'and', 'quality', 'of', 'the', 'food', 'left', 'me', 'incredulous.']","[0.5400253501149315, 0.5083435391752709, 0.5405114041755136, 0.4533363298221227, 0.48130814498421426, 0.46213893030186115, 0.5021034238046452, 0.4319048931396791, 0.3812952875796474, 0.7899860629456585, 0.7430071352307958, 0.7621999204213723, 0.4931964537422408, 0.6666732753580256, 0.4908046241682596, 0.4950120627975771, 0.7247194731953411, 0.4785217470129611, 0.3964909396614374, 0.37529108859814003]",negative,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
272,272,r2-0019653,"[1, 14200, 446, 264, 4362, 261, 98943, 263, 3720, 270, 706, 388, 263, 273, 284, 2759, 334, 273, 464, 298, 2766, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Been', 'going', 'to', 'Kevin,', 'Savo', 'and', 'Dan', 'for', '15', 'years', 'and', 'I', 'was', 'treated', 'like', 'I', 'did', 'not', 'exist.']","['Been', 'going', 'to', 'Kevin,', 'Savo', 'and', 'Dan', 'for', '15', 'years', 'and', 'I', 'was', 'treated', 'like', 'I', 'did', 'not', 'exist.']","[0.5515557689305306, 0.4266699472631689, 0.46772743252901156, 0.3467532529452371, 0.7890637023054262, 0.36919198991896957, 0.6964333014548242, 0.33994315020053234, 0.47554144723407804, 0.32035922821730534, 0.4227902647017937, 0.6752202097202793, 0.5259031905746973, 0.5394211513140073, 0.5235862188860475, 0.42886042684622894, 0.42080594379388725, 0.4475889032358238, 0.3895159047550696]",negative,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
273,273,r2-0019658,"[1, 14771, 2506, 264, 11875, 316, 596, 275, 359, 763, 1009, 304, 722, 381, 360, 275, 262, 15010, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['KY', 'failed', 'to', 'impress', 'our', 'group', 'with', 'its', 'current', 'style', 'but', 'won', 'us', 'over', 'with', 'the', 'desserts.']","['KY', 'failed', 'to', 'impress', 'our', 'group', 'with', 'its', 'current', 'style', 'but', 'won', 'us', 'over', 'with', 'the', 'desserts.']","[0.36559257130910283, 0.39578953650260784, 0.435073300985283, 0.497834982941503, 0.5003236357943971, 0.3617536989349966, 0.5003554272590027, 0.511295810506282, 0.33661720721085353, 0.3630388146833651, 0.45147796658326245, 0.5030576447763581, 0.4004376165537296, 0.38607210032785466, 0.4855562325220854, 0.6552357707482918, 0.4893892117380387]",positive,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
274,274,r2-0019660,"[1, 1462, 95242, 436, 21856, 1932, 322, 266, 477, 740, 824, 263, 1465, 4294, 278, 321, 260, 278, 284, 1085, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Waffallonia', 'opened', 'up', 'a', 'few', 'months', 'ago', 'and', 'finally', 'checked', 'it', 'out.', 'it', 'was', 'nice']","['Waffallonia', 'opened', 'up', 'a', 'few', 'months', 'ago', 'and', 'finally', 'checked', 'it', 'out.', 'it', 'was', 'nice']","[0.42532409546786326, 0.42944860082033576, 0.3797478113077794, 0.33558745172710297, 0.4184199209384889, 0.38077887960540324, 0.5706521543579881, 0.42649156774399366, 0.37092074191604024, 0.47869098678591, 0.6293634845935445, 0.3895283685634198, 0.4801809070874639, 0.41576140245101734, 0.44211849174805623]",positive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]"
275,275,r2-0019661,"[1, 503, 6935, 316, 4273, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['She', 'ignored', 'our', 'mistake.']","['She', 'ignored', 'our', 'mistake.']","[0.3680510595023832, 0.3549595305545759, 0.30819503606431553, 0.3523749418392348]",negative,"[1, 0, 0, 0]"
276,276,r2-0019662,"[1, 273, 921, 349, 298, 264, 1174, 312, 80049, 261, 263, 306, 700, 1645, 263, 464, 324, 401, 306, 708, 278, 338, 811, 351, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I', 'asked', 'them', 'not', 'to', 'cut', 'my', 'cuticles,', 'and', 'they', 'went', 'ahead', 'and', 'did', 'so', 'because', 'they', 'thought', 'it', 'would', 'please', 'me.']","['I', 'asked', 'them', 'not', 'to', 'cut', 'my', 'cuticles,', 'and', 'they', 'went', 'ahead', 'and', 'did', 'so', 'because', 'they', 'thought', 'it', 'would', 'please', 'me.']","[0.5418756367484177, 0.47928317280927263, 0.3964907985595218, 0.38533212798155153, 0.5265594555117885, 0.4178323746261017, 0.41819254272673134, 0.6192702163006861, 0.8212383860817676, 0.7399653495725825, 0.5068878874143361, 0.463913276117165, 0.49794039583193833, 0.6769339348349805, 0.5177602852847975, 0.46646900114281603, 0.48415049265418086, 0.4414529306270798, 0.4382141608103077, 0.4535200497718694, 0.43282566887481927, 0.5168937484164793]",neutral,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
277,277,r2-0019665,"[1, 17344, 979, 261, 462, 831, 263, 396, 832, 260, 1085, 470, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Friendly', 'staff,', 'both', 'front', 'and', 'back', 'office.', 'nice', 'place']","['Friendly', 'staff,', 'both', 'front', 'and', 'back', 'office.', 'nice', 'place']","[0.4116646827427555, 0.3899633818824244, 0.5652415206590161, 0.40081737684085755, 0.41247757328506895, 0.5691284178049085, 0.4220563174809327, 0.4684098925136741, 0.6879114753314755]",positive,"[0, 0, 1, 0, 0, 1, 0, 0, 1]"
278,278,r2-0019666,"[1, 336, 1156, 263, 273, 700, 277, 266, 1561, 1882, 441, 47080, 320, 578, 3556, 289, 324, 263, 278, 284, 266, 480, 2418, 261, 304, 301, 286, 264, 1495, 288, 305, 270, 266, 1108, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['A', 'friend', 'and', 'I', 'went', 'on', 'a', 'Thursday', 'evening', 'around', '730/', '8', 'pm', 'or', 'so', 'and', 'it', 'was', 'a', 'little', 'busy,', 'but', 'we', 'have', 'to', 'wait', 'at', 'all', 'for', 'a', 'table.']","['A', 'friend', 'and', 'I', 'went', 'on', 'a', 'Thursday', 'evening', 'around', '730/', '8', 'pm', 'or', 'so', 'and', 'it', 'was', 'a', 'little', 'busy,', 'but', 'we', 'have', 'to', 'wait', 'at', 'all', 'for', 'a', 'table.']","[0.6260608850876299, 0.5067195222972553, 0.724256089281917, 0.5058932101184569, 0.4484283110448571, 0.4634366013101561, 0.7086359269539072, 0.44325057671986373, 0.4134560201431062, 0.3409286671215703, 0.3940891006460101, 0.4087306986879135, 0.3330690004696344, 0.5119707896914762, 0.5642542320138704, 0.4943019076808696, 0.8092489127033053, 0.6028541051492684, 0.6776921947366737, 0.7824847956744234, 0.45300919005860985, 0.4960596736245529, 0.9572420142379723, 0.594733613395628, 0.5085656569759751, 0.4667745539849483, 0.5248026274416968, 0.5334939524972805, 0.5146522989157533, 0.4606831885186811, 0.557764155742692]",positive,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
279,279,r2-0019668,"[1, 29171, 1360, 291, 470, 311, 2041, 261, 304, 337, 273, 387, 575, 278, 261, 273, 338, 1039, 349, 2023, 2906, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Yelp', 'gives', 'this', 'place', 'one', 'star,', 'but', 'if', 'I', 'could', 'change', 'it,', 'I', 'would', 'rate', 'them', 'ten', 'stars.']","['Yelp', 'gives', 'this', 'place', 'one', 'star,', 'but', 'if', 'I', 'could', 'change', 'it,', 'I', 'would', 'rate', 'them', 'ten', 'stars.']","[0.6998460303370343, 0.38943405669153836, 0.47272591791238106, 0.40591349636781554, 0.37773370315793176, 0.49368958373175026, 0.7649596956853959, 0.5615922013807672, 0.5234288957855753, 0.47641162507758067, 0.44558633895303223, 0.3828377293844897, 0.4229581145926531, 0.84903436348858, 0.4792167763318767, 0.4399570464717438, 0.4197442328577773, 0.361420543322463]",negative,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
280,280,r2-0019669,"[1, 545, 262, 340, 3167, 43514, 1536, 332, 2100, 277, 37875, 268, 261, 324, 273, 348, 1216, 264, 527, 291, 470, 266, 1607, 2128, 262, 14323, 48480, 1937, 260, 325, 284, 266, 966, 470, 260, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['All', 'the', 'other', 'nearby', 'mexican', 'places', 'were', 'closed', 'on', 'sundays,', 'so', 'I', 'just', 'decided', 'to', 'give', 'this', 'place', 'a', 'shot', 'despite', 'the', 'questionable', 'yelp', 'reviews.', 'It', 'was', 'a', 'bad', 'place.']","['All', 'the', 'other', 'nearby', 'mexican', 'places', 'were', 'closed', 'on', 'sundays,', 'so', 'I', 'just', 'decided', 'to', 'give', 'this', 'place', 'a', 'shot', 'despite', 'the', 'questionable', 'yelp', 'reviews.', 'It', 'was', 'a', 'bad', 'place.']","[0.6899262612154183, 0.8314124303459771, 0.4600907793486228, 0.372485918879199, 0.3674864443739482, 0.42813792129658407, 0.566319500354535, 0.43586190876702474, 0.4538928415946308, 0.5539018934938131, 0.3947199646702685, 0.9177183592916369, 0.49989800617507746, 0.4854622455687027, 0.40310927912636746, 0.48567856516688385, 0.5230164752903519, 0.4831117092644544, 0.5271108145514164, 0.4349925307800938, 0.780882537517917, 0.46451379088394, 0.47023061937069294, 0.7708572405931929, 0.40386740369509755, 0.4631145999434727, 0.4907430190121995, 1.172243636000756, 0.5671482633225159, 0.628105146921893]",negative,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1]"
281,281,r2-0019670,"[1, 279, 979, 422, 281, 489, 277, 582, 4337, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'staff', 'here', 'are', 'always', 'on', 'point', 'correctly']","['The', 'staff', 'here', 'are', 'always', 'on', 'point', 'correctly']","[0.5626775334389225, 0.3585204894473342, 0.34325932001983855, 0.4256174363927194, 0.3939717131546019, 0.4514943897211844, 0.4210851824060606, 0.3470369165089534]",positive,"[1, 0, 0, 0, 0, 1, 0, 0]"
282,282,r2-0019671,"[1, 273, 276, 358, 2902, 264, 282, 540, 442, 265, 272, 302, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I’m', 'supposed', 'to', 'be', 'full', 'off', 'of', 'that?']","['I’m', 'supposed', 'to', 'be', 'full', 'off', 'of', 'that?']","[0.5277916481198749, 0.40059038811538267, 0.405611709832067, 0.48451106624930335, 0.4188753592427677, 0.41193124601649855, 0.45050064368239673, 0.48730833497055637]",neutral,"[1, 0, 0, 0, 0, 0, 0, 1]"
